Attendance,Previous qualification (grade),Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Student ID,Application preference
Daytime,118.0,122.2,No,No,No,Yes,Female,No,19,No,0,5,11,3,10.666666666666666,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate,0848,6
Daytime,130.0,122.3,Yes,No,Yes,No,Female,No,18,No,0,6,8,6,14.142857142857142,0,0,6,6,5,12.0,0,13.9,-0.3,0.79,Dropout,3928,5
Daytime,180.0,183.5,Yes,No,No,Yes,Female,No,18,Yes,0,7,8,4,12.0,0,0,8,8,0,0.0,0,16.2,0.3,-0.92,Dropout,0525,6
Daytime,127.0,150.0,No,No,No,Yes,Female,Yes,19,No,0,7,9,5,13.85,0,0,8,9,7,12.19285714285714,0,11.1,0.6,2.02,Graduate,0224,6
Daytime,110.0,110.0,No,No,No,Yes,Male,No,35,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,3199,6
Daytime,129.0,142.0,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,12.666666666666666,0,0,6,7,6,12.714285714285714,0,9.4,-0.8,-3.12,Graduate,2180,4
Daytime,110.0,110.0,Yes,No,No,Yes,Male,No,27,No,7,12,12,9,12.333333333333334,0,6,11,11,6,13.166666666666666,0,9.4,-0.8,-3.12,Dropout,3593,6
Daytime,130.0,146.0,No,No,No,Yes,Male,No,34,No,0,6,8,5,12.6,0,0,6,11,4,11.25,0,12.4,0.5,1.79,Graduate,3689,6
Daytime,140.0,146.5,No,No,No,Yes,Male,No,39,No,0,5,10,3,17.333333333333332,0,0,5,11,1,17.0,0,13.9,-0.3,0.79,Dropout,0700,6
Daytime,120.0,149.0,No,No,No,No,Male,No,36,No,0,6,15,2,11.5,0,0,7,9,0,0.0,0,15.5,2.8,-4.06,Dropout,0792,6
Daytime,133.1,110.0,No,No,No,Yes,Female,No,28,No,0,6,15,4,12.0,0,0,6,14,4,12.0,0,11.1,0.6,2.02,Dropout,4056,6
Daytime,126.0,132.0,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,14.166666666666666,0,0,6,8,6,12.375,0,10.8,1.4,1.74,Graduate,2741,5
Daytime,146.0,143.9,No,No,No,Yes,Female,No,18,No,0,5,11,5,11.333333333333334,0,0,5,8,5,12.0,0,13.9,-0.3,0.79,Graduate,2739,5
Daytime,142.0,127.7,No,No,No,Yes,Female,Yes,20,No,0,6,7,6,15.0,0,0,6,6,6,16.333333333333332,0,13.9,-0.3,0.79,Graduate,3164,6
Daytime,120.0,120.0,Yes,No,No,Yes,Female,No,31,No,8,12,12,11,13.818181818181818,0,4,12,16,12,13.461538461538462,0,15.5,2.8,-4.06,Graduate,1966,6
Daytime,120.0,128.2,Yes,No,No,Yes,Male,No,34,No,4,6,8,4,11.25,0,1,5,8,2,10.5,0,7.6,2.6,0.32,Dropout,0981,6
Daytime,132.0,119.4,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,1453,6
Evening,133.1,154.4,No,No,No,Yes,Male,No,27,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,3583,6
Daytime,137.0,126.0,Yes,No,No,Yes,Female,No,19,No,0,7,9,7,14.283333333333337,0,0,8,9,8,13.125555555555556,0,15.5,2.8,-4.06,Graduate,2153,3
Daytime,119.1,119.1,No,No,No,Yes,Male,No,22,No,0,7,7,6,12.733333333333334,0,0,7,7,6,12.733333333333334,0,7.6,2.6,0.32,Graduate,3873,5
Daytime,128.0,116.5,No,No,No,Yes,Male,No,19,No,0,5,8,2,10.0,0,0,5,8,1,16.0,0,7.6,2.6,0.32,Dropout,0985,6
Daytime,141.0,128.4,Yes,No,Yes,No,Female,No,18,No,0,6,8,5,13.0,0,0,6,8,5,11.4,0,7.6,2.6,0.32,Dropout,0393,1
Daytime,120.0,116.0,No,No,No,Yes,Female,No,44,No,0,6,8,6,13.0,0,0,6,6,6,13.833333333333334,0,12.7,3.7,-1.7,Graduate,0349,6
Daytime,129.0,123.4,No,No,No,Yes,Female,No,19,No,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate,0152,6
Evening,133.1,118.4,No,No,No,No,Female,No,39,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,1548,6
Daytime,126.0,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,0041,2
Daytime,144.0,125.8,No,No,No,Yes,Female,Yes,19,No,0,8,12,7,12.471428571428572,0,0,8,12,7,12.471428571428572,0,12.7,3.7,-1.7,Graduate,2081,6
Daytime,117.0,116.3,Yes,No,No,Yes,Male,Yes,21,No,0,6,6,6,11.666666666666666,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Graduate,4268,6
Daytime,150.0,148.8,No,No,No,Yes,Male,Yes,25,No,0,5,7,4,14.25,0,0,5,7,4,14.75,0,12.7,3.7,-1.7,Graduate,2377,6
Evening,131.0,125.0,No,No,No,Yes,Male,No,24,No,0,6,13,0,0.0,3,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,1489,6
Daytime,133.1,103.5,No,No,No,Yes,Male,No,42,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,1787,6
Daytime,142.0,133.3,Yes,No,No,Yes,Female,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,1351,6
Evening,126.0,119.4,No,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,6,6,11.666666666666666,0,12.7,3.7,-1.7,Graduate,0334,6
Daytime,126.0,123.6,Yes,No,No,Yes,Female,No,21,No,0,5,10,3,11.666666666666666,0,0,5,5,5,13.0,0,10.8,1.4,1.74,Graduate,1622,6
Evening,130.0,120.0,No,No,No,Yes,Female,No,58,No,0,6,14,5,12.4,0,0,6,10,5,11.6,0,9.4,-0.8,-3.12,Graduate,3757,6
Daytime,100.0,100.0,No,No,No,Yes,Female,No,20,No,0,6,8,6,12.5,0,0,6,10,5,14.166666666666666,0,11.1,0.6,2.02,Graduate,1267,6
Daytime,130.0,100.0,No,No,No,No,Male,No,29,No,0,6,9,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout,3191,6
Daytime,120.0,125.7,No,No,Yes,No,Female,No,43,No,0,6,10,4,12.25,0,0,6,13,4,10.5,0,8.9,1.4,3.51,Dropout,1210,6
Evening,133.1,155.5,Yes,No,Yes,No,Male,No,39,No,0,5,6,5,10.6,0,0,5,7,5,14.666666666666666,0,10.8,1.4,1.74,Dropout,0979,6
Daytime,122.0,130.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,5,11.8,0,0,6,10,5,12.2,0,11.1,0.6,2.02,Graduate,0498,6
Daytime,164.0,163.0,No,No,No,Yes,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout,4051,6
Daytime,124.0,123.7,Yes,No,No,Yes,Female,Yes,18,No,1,6,8,6,12.714285714285714,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate,1085,5
Daytime,140.0,100.0,No,No,Yes,No,Female,No,29,Yes,3,9,9,3,14.333333333333334,0,1,7,8,1,14.0,0,15.5,2.8,-4.06,Dropout,1767,6
Daytime,150.0,133.5,Yes,No,No,Yes,Male,No,21,No,0,5,10,5,13.0,0,0,5,10,5,12.6,0,9.4,-0.8,-3.12,Graduate,2436,6
Daytime,168.0,153.9,No,No,Yes,No,Male,No,34,No,0,6,7,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout,1295,6
Daytime,126.0,129.9,Yes,No,No,Yes,Male,Yes,20,No,1,7,9,6,12.0,0,2,6,6,6,11.166666666666666,0,10.8,1.4,1.74,Graduate,1454,5
Daytime,133.1,120.0,No,No,No,Yes,Male,No,58,No,0,6,9,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout,0968,6
Daytime,149.0,130.5,Yes,No,No,Yes,Female,No,28,No,8,11,11,9,11.666666666666666,0,8,11,13,9,12.555555555555555,0,10.8,1.4,1.74,Graduate,3813,6
Daytime,133.1,120.0,Yes,No,No,Yes,Female,No,32,No,0,3,3,2,16.0,0,0,3,3,1,16.0,0,7.6,2.6,0.32,Dropout,4142,6
Evening,140.0,121.0,No,No,No,Yes,Female,No,50,No,0,6,8,6,12.666666666666666,0,0,6,6,6,11.833333333333334,0,10.8,1.4,1.74,Graduate,2863,6
Daytime,119.0,119.0,No,No,Yes,Yes,Male,No,23,No,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout,2228,6
Daytime,142.0,127.3,No,No,No,Yes,Female,Yes,18,No,0,5,5,5,11.2,0,0,5,5,5,11.8,0,11.1,0.6,2.02,Graduate,0313,5
Daytime,133.1,95.0,No,No,No,Yes,Female,No,20,No,0,5,10,4,11.75,0,0,5,8,5,11.8,0,11.1,0.6,2.02,Graduate,4201,6
Evening,130.0,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,0035,6
Daytime,133.1,117.8,No,No,Yes,No,Female,No,46,No,0,7,14,3,12.333333333333334,0,0,7,12,3,11.083333333333334,0,11.1,0.6,2.02,Dropout,4416,6
Daytime,122.0,127.3,Yes,No,Yes,Yes,Female,No,20,No,0,6,6,6,12.166666666666666,0,0,6,7,6,11.666666666666666,0,9.4,-0.8,-3.12,Graduate,1232,6
Daytime,152.0,146.1,Yes,No,No,Yes,Female,No,18,No,0,5,8,4,13.5,2,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout,1893,6
Daytime,133.1,118.0,No,No,No,Yes,Female,No,27,No,0,7,14,6,11.666666666666666,0,0,7,10,1,10.0,0,12.4,0.5,1.79,Dropout,3650,6
Daytime,160.0,149.2,No,No,No,Yes,Male,No,18,No,0,5,7,4,14.0,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate,2353,6
Daytime,133.1,99.5,Yes,No,Yes,No,Female,Yes,37,No,0,7,13,1,16.0,0,0,7,12,0,0.0,0,8.9,1.4,3.51,Dropout,0256,6
Daytime,132.0,119.1,Yes,No,Yes,No,Female,No,20,No,0,5,9,3,10.0,0,0,5,9,3,10.571428571428571,0,10.8,1.4,1.74,Dropout,0186,5
Daytime,116.0,110.8,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,0675,6
Evening,133.0,119.7,Yes,No,No,Yes,Female,Yes,19,No,0,6,10,4,11.5,0,0,6,11,6,11.5,0,9.4,-0.8,-3.12,Dropout,4227,5
Daytime,126.0,115.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,8,7,12.135714285714286,0,0,8,10,7,13.328571428571427,0,12.4,0.5,1.79,Graduate,1112,2
Daytime,144.0,137.4,No,No,No,Yes,Female,No,19,No,0,7,7,7,13.542857142857144,0,0,8,9,8,14.22222222222222,0,16.2,0.3,-0.92,Graduate,2018,6
Daytime,118.0,122.2,Yes,No,No,Yes,Female,No,22,No,0,6,10,4,10.5,0,0,6,14,1,11.0,0,7.6,2.6,0.32,Dropout,1409,6
Daytime,110.0,100.0,Yes,No,No,Yes,Male,No,27,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,3325,6
Daytime,134.0,120.5,Yes,No,No,Yes,Male,Yes,18,No,0,7,12,7,11.716666666666663,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,Graduate,3170,4
Daytime,140.0,124.3,Yes,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate,3718,4
Daytime,160.0,160.0,No,No,Yes,No,Male,No,24,No,2,6,6,2,16.0,0,2,7,7,2,16.0,0,8.9,1.4,3.51,Dropout,3564,6
Daytime,145.0,143.6,Yes,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate,2638,5
Daytime,142.0,131.9,No,No,No,Yes,Female,Yes,29,No,9,16,17,16,12.588235294117649,0,10,13,14,13,13.357142857142858,0,9.4,-0.8,-3.12,Graduate,1727,6
Daytime,133.1,112.9,No,No,No,Yes,Female,No,24,No,0,6,12,2,11.666666666666666,0,0,6,20,2,10.5,6,16.2,0.3,-0.92,Dropout,1824,6
Evening,140.0,100.0,No,No,No,No,Female,No,31,No,2,6,10,4,11.75,0,0,5,6,1,10.0,0,12.7,3.7,-1.7,Dropout,1245,6
Daytime,152.0,144.7,No,No,No,Yes,Female,No,20,No,0,6,8,6,14.5,0,0,6,7,6,15.428571428571429,0,16.2,0.3,-0.92,Graduate,0275,6
Daytime,120.0,120.0,No,No,No,Yes,Male,No,20,No,2,7,7,6,12.5,0,5,9,10,7,13.142857142857142,1,16.2,0.3,-0.92,Graduate,4419,6
Daytime,160.0,160.0,Yes,No,No,Yes,Male,No,23,No,1,6,10,5,12.5,0,1,6,8,2,13.5,0,12.4,0.5,1.79,Dropout,3080,6
Daytime,121.0,121.4,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,4,10.75,0,0,6,11,5,11.5,0,15.5,2.8,-4.06,Graduate,1486,5
Evening,120.0,117.6,Yes,No,No,Yes,Female,No,19,No,0,6,8,5,12.2,0,0,6,7,6,12.0,0,7.6,2.6,0.32,Graduate,2586,5
Daytime,130.0,140.0,No,No,No,Yes,Male,No,50,No,0,6,7,4,12.25,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Dropout,2321,6
Daytime,133.1,98.0,No,No,No,Yes,Male,No,26,No,0,6,6,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout,2394,6
Daytime,138.0,139.4,Yes,No,No,Yes,Female,No,18,No,0,6,7,5,12.8,0,0,6,10,4,12.2,0,10.8,1.4,1.74,Graduate,1342,2
Daytime,148.0,141.7,No,No,No,Yes,Female,Yes,18,No,0,6,8,5,13.4,0,0,6,7,6,13.166666666666666,0,9.4,-0.8,-3.12,Graduate,0237,6
Daytime,141.0,130.2,Yes,No,No,Yes,Female,No,21,No,0,7,11,7,14.072222222222225,0,0,8,8,8,14.0475,0,15.5,2.8,-4.06,Graduate,2083,5
Daytime,133.1,124.5,No,No,No,Yes,Female,Yes,36,No,0,6,7,6,13.714285714285714,0,0,6,6,5,12.8,0,16.2,0.3,-0.92,Dropout,0210,6
Daytime,133.0,120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,0042,5
Daytime,126.0,115.5,No,No,No,Yes,Male,No,18,No,0,7,11,6,13.433333333333332,0,0,7,10,4,13.6,0,8.9,1.4,3.51,Graduate,2217,5
Daytime,121.0,116.5,Yes,No,No,No,Male,No,18,No,0,6,12,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,1283,2
Daytime,124.0,126.8,Yes,No,No,Yes,Female,No,20,No,0,5,8,5,12.333333333333334,0,0,5,7,5,12.2,0,15.5,2.8,-4.06,Graduate,2769,6
Daytime,150.0,140.0,No,No,No,Yes,Male,No,24,No,0,7,11,7,11.294444444444444,0,0,8,22,2,12.6,0,15.5,2.8,-4.06,Graduate,2202,6
Daytime,141.0,125.5,No,No,No,Yes,Female,No,18,No,0,8,10,8,12.86,2,0,8,10,8,12.86,2,9.4,-0.8,-3.12,Graduate,0300,6
Daytime,153.0,157.9,No,No,Yes,Yes,Female,Yes,18,No,0,6,6,6,14.833333333333334,0,0,6,6,6,14.833333333333334,0,8.9,1.4,3.51,Graduate,0138,6
Daytime,100.0,163.5,No,No,Yes,No,Male,No,50,No,0,6,7,1,15.0,0,0,5,12,0,0.0,0,10.8,1.4,1.74,Dropout,0679,6
Daytime,140.0,140.0,Yes,No,No,No,Female,No,39,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout,1517,6
Daytime,130.0,129.0,Yes,No,No,Yes,Female,No,25,No,0,6,6,6,13.5,0,0,6,6,6,12.5,0,9.4,-0.8,-3.12,Graduate,1818,6
Daytime,140.0,132.5,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,14.316666666666668,0,0,7,7,6,14.316666666666668,0,7.6,2.6,0.32,Graduate,3260,5
Daytime,130.0,121.5,No,No,No,No,Male,No,26,No,0,5,5,2,10.5,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout,1867,5
Evening,140.0,126.0,No,No,No,Yes,Female,Yes,39,No,3,9,9,9,13.11111111111111,0,2,7,10,7,11.714285714285714,0,12.7,3.7,-1.7,Graduate,3803,6
Daytime,130.0,123.8,No,No,No,Yes,Female,No,18,No,0,5,7,4,12.0,0,0,5,6,5,12.0,0,7.6,2.6,0.32,Graduate,1091,6
Evening,120.0,120.7,No,No,No,Yes,Female,No,39,No,0,5,6,5,11.0,0,0,5,5,5,13.2,0,7.6,2.6,0.32,Graduate,2887,6
Daytime,136.0,133.2,Yes,No,No,Yes,Female,No,19,No,0,6,8,5,11.0,0,0,6,13,5,11.4,0,7.6,2.6,0.32,Graduate,4185,6
Daytime,121.0,111.9,Yes,No,No,Yes,Female,No,20,No,5,11,12,11,11.727272727272728,0,5,11,14,11,12.0,0,12.4,0.5,1.79,Graduate,0397,6
Evening,150.0,122.5,No,No,No,Yes,Male,No,47,No,0,5,9,4,11.5,0,0,5,6,5,11.6,1,7.6,2.6,0.32,Dropout,2750,6
Daytime,133.1,154.3,No,No,No,Yes,Female,No,32,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout,3359,6
Daytime,143.0,128.0,No,No,No,Yes,Female,Yes,18,No,0,7,9,7,13.055555555555555,0,0,8,8,8,15.8125,0,13.9,-0.3,0.79,Graduate,0605,6
Daytime,128.0,121.0,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,13.5,0,0,6,9,6,13.571428571428571,0,11.1,0.6,2.02,Graduate,0427,3
Daytime,140.0,140.0,Yes,No,No,Yes,Female,No,23,No,0,6,7,6,15.571428571428571,0,0,6,8,6,16.375,0,12.4,0.5,1.79,Graduate,1200,6
Daytime,144.0,142.6,Yes,No,No,Yes,Female,Yes,18,No,0,6,7,6,14.166666666666666,0,0,6,10,4,14.0,0,15.5,2.8,-4.06,Graduate,4207,6
Daytime,133.1,100.8,No,No,No,Yes,Male,No,24,No,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,0091,6
Daytime,133.1,143.0,Yes,No,Yes,Yes,Female,No,21,No,0,6,9,5,11.4,0,0,6,8,5,12.2,0,12.7,3.7,-1.7,Dropout,2597,6
Evening,130.0,140.0,No,No,No,Yes,Male,No,26,No,0,5,5,5,12.4,0,0,5,5,5,12.4,0,15.5,2.8,-4.06,Graduate,1866,6
Daytime,138.0,123.0,Yes,No,No,Yes,Female,No,19,No,0,6,11,5,10.8,0,0,6,12,5,11.333333333333334,0,15.5,2.8,-4.06,Graduate,3020,1
Daytime,118.0,112.4,Yes,No,No,Yes,Female,No,19,No,0,12,22,6,15.307692307692308,0,0,10,13,6,13.875,0,15.5,2.8,-4.06,Graduate,4129,2
Daytime,133.1,96.0,No,No,No,Yes,Male,No,31,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,3563,6
Daytime,170.0,159.5,No,No,No,Yes,Male,No,33,No,0,6,6,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout,3201,6
Daytime,133.1,131.0,Yes,No,No,Yes,Female,No,21,No,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,Dropout,0121,6
Daytime,120.0,111.3,No,No,No,Yes,Female,No,24,No,9,13,17,10,11.5,0,7,13,18,9,10.444444444444445,0,16.2,0.3,-0.92,Dropout,1625,6
Daytime,143.0,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,12.217142857142855,0,0,8,11,7,12.11875,0,11.1,0.6,2.02,Graduate,4377,1
Daytime,139.0,124.0,Yes,No,No,Yes,Male,Yes,18,No,0,8,8,7,13.331428571428573,0,0,8,8,7,13.331428571428573,0,10.8,1.4,1.74,Graduate,1362,3
Daytime,137.0,129.3,No,No,No,Yes,Female,No,19,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,0954,2
Daytime,150.0,142.0,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,12.333333333333334,0,0,6,7,5,12.4,0,10.8,1.4,1.74,Dropout,2619,5
Daytime,133.1,133.0,No,No,No,Yes,Female,No,24,No,0,7,9,6,12.585714285714284,0,0,8,9,7,13.44285714285714,0,13.9,-0.3,0.79,Graduate,0357,6
Daytime,133.1,110.0,Yes,No,No,Yes,Female,Yes,21,No,0,6,8,6,13.285714285714286,0,0,6,11,6,13.0,0,11.1,0.6,2.02,Graduate,3763,6
Daytime,133.1,120.0,No,No,No,Yes,Male,No,25,No,0,3,4,0,0.0,0,0,3,5,0,0.0,0,16.2,0.3,-0.92,Dropout,0567,6
Daytime,125.0,134.1,Yes,No,No,Yes,Male,No,24,No,12,17,19,13,11.642857142857142,0,12,17,25,12,11.25,0,11.1,0.6,2.02,Dropout,3522,6
Daytime,142.0,137.5,Yes,No,No,Yes,Male,No,19,No,0,5,10,5,12.0,0,0,5,9,5,11.5,0,13.9,-0.3,0.79,Graduate,1814,5
Daytime,160.0,150.2,Yes,No,No,Yes,Female,No,19,No,0,5,13,1,13.0,0,0,5,7,2,12.5,0,12.7,3.7,-1.7,Dropout,4158,2
Daytime,135.0,127.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,8,6,13.741666666666667,0,0,8,9,7,14.9125,0,16.2,0.3,-0.92,Graduate,0225,6
Daytime,140.0,138.3,No,No,No,Yes,Male,No,18,No,0,6,7,6,16.0,0,0,6,6,6,15.166666666666666,0,12.4,0.5,1.79,Graduate,2694,6
Daytime,121.0,131.5,No,No,No,Yes,Female,No,21,No,0,5,10,0,0.0,1,0,5,9,2,13.5,0,7.6,2.6,0.32,Dropout,0220,6
Daytime,137.0,130.4,Yes,No,Yes,Yes,Male,No,18,No,0,5,10,1,12.0,0,0,5,7,3,10.666666666666666,2,7.6,2.6,0.32,Dropout,3724,5
Daytime,131.0,118.4,No,No,No,Yes,Male,No,18,No,0,5,10,0,0.0,0,0,5,10,2,11.5,4,7.6,2.6,0.32,Dropout,3740,4
Daytime,144.0,130.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,11.971428571428572,0,0,8,12,7,11.971428571428572,0,12.7,3.7,-1.7,Graduate,2934,1
Daytime,138.0,135.9,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,14.857142857142858,0,0,6,6,6,14.666666666666666,0,13.9,-0.3,0.79,Graduate,2084,4
Evening,130.0,119.5,Yes,No,No,Yes,Female,No,22,No,9,15,17,15,11.2,0,9,14,15,14,12.428571428571429,0,7.6,2.6,0.32,Graduate,3087,6
Daytime,120.0,111.6,No,No,No,Yes,Female,No,20,No,0,6,6,6,14.5,0,0,6,6,6,12.666666666666666,0,12.4,0.5,1.79,Graduate,1825,6
Daytime,129.0,127.8,Yes,No,No,Yes,Female,No,19,No,0,8,10,6,13.78,1,0,8,10,6,13.78,1,9.4,-0.8,-3.12,Dropout,4108,1
Evening,130.0,133.9,No,No,No,Yes,Female,No,28,No,0,5,7,5,13.714285714285714,0,0,5,7,5,13.142857142857142,0,16.2,0.3,-0.92,Graduate,4084,6
Daytime,132.0,129.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.0,0,0,6,6,6,12.166666666666666,0,8.9,1.4,3.51,Graduate,2977,5
Daytime,130.0,126.1,Yes,No,No,No,Male,No,27,No,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout,1748,6
Daytime,130.0,110.0,Yes,No,No,Yes,Female,No,24,No,0,6,6,6,15.166666666666666,0,0,6,6,2,15.5,0,15.5,2.8,-4.06,Graduate,1840,6
