Attendance,Previous qualification (grade),Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Student ID,Application preference
Daytime,140.0,124.6,Yes,No,No,Yes,Female,No,19,No,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate,0435,6
Daytime,138.0,127.2,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,7,13.26,0,0,8,8,8,14.28625,0,15.5,2.8,-4.06,Graduate,2103,1
Daytime,130.0,100.0,No,No,Yes,No,Male,No,28,No,4,10,19,8,11.88888888888889,0,2,8,17,5,11.6,1,15.5,2.8,-4.06,Dropout,3849,6
Daytime,105.0,106.1,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,11.5,0,0,6,7,6,13.285714285714286,0,11.1,0.6,2.02,Graduate,2016,6
Daytime,116.0,112.2,No,No,No,Yes,Male,No,19,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,3186,5
Evening,170.0,170.0,No,No,No,Yes,Female,No,27,No,0,5,5,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,2902,6
Daytime,130.0,101.3,Yes,No,No,Yes,Male,No,20,No,0,6,12,4,12.8,0,0,6,17,0,0.0,0,12.4,0.5,1.79,Dropout,1523,6
Daytime,137.0,131.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,8,13.73125,0,0,8,8,8,13.73125,0,9.4,-0.8,-3.12,Graduate,0624,6
Daytime,133.1,101.0,No,No,Yes,Yes,Female,No,25,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,2136,6
Daytime,125.0,121.5,No,No,No,Yes,Female,No,19,No,0,6,10,5,11.666666666666666,0,0,6,12,4,11.0,0,13.9,-0.3,0.79,Graduate,0168,4
Daytime,133.0,133.7,Yes,No,No,Yes,Female,No,19,No,0,6,11,1,13.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout,3678,5
Daytime,130.0,130.0,No,No,Yes,No,Female,No,27,No,1,5,6,2,11.5,0,0,5,5,1,11.0,0,12.7,3.7,-1.7,Dropout,0496,4
Evening,133.1,144.5,No,No,No,Yes,Female,No,45,No,0,6,13,4,12.5,0,0,6,8,3,11.666666666666666,0,16.2,0.3,-0.92,Dropout,2880,6
Daytime,150.0,135.0,No,No,No,Yes,Female,No,29,No,2,8,10,7,11.142857142857142,0,2,8,11,8,11.375,0,12.7,3.7,-1.7,Graduate,3468,6
Daytime,125.0,121.5,Yes,No,No,Yes,Female,No,20,No,0,7,13,4,13.5,0,0,7,11,4,11.225,0,11.1,0.6,2.02,Dropout,2048,5
Daytime,147.0,142.0,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,14.65,0,0,7,7,6,14.65,0,7.6,2.6,0.32,Graduate,3124,6
Daytime,150.0,150.0,No,No,Yes,No,Female,No,26,No,0,3,3,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,0321,6
Daytime,127.0,133.7,Yes,No,Yes,Yes,Male,No,18,No,0,6,6,6,13.0,0,0,6,7,5,11.8,0,12.7,3.7,-1.7,Dropout,3594,4
Evening,133.1,128.2,No,No,No,Yes,Female,No,33,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0358,6
Daytime,129.0,121.0,No,No,No,Yes,Female,Yes,22,No,0,6,9,6,12.833333333333334,0,0,6,6,4,13.25,0,16.2,0.3,-0.92,Graduate,4211,6
Daytime,139.0,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,0067,4
Daytime,121.0,125.9,Yes,No,No,Yes,Male,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout,2462,4
Daytime,130.0,130.0,No,No,No,No,Female,No,28,No,0,5,9,1,12.0,1,0,4,10,0,0.0,4,10.8,1.4,1.74,Dropout,0504,5
Daytime,137.0,133.2,Yes,No,No,Yes,Female,Yes,19,No,0,6,7,6,14.714285714285714,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate,1305,5
Daytime,113.0,112.3,Yes,No,Yes,Yes,Female,Yes,20,No,0,6,8,5,11.6,0,0,6,8,4,11.75,0,8.9,1.4,3.51,Graduate,1204,1
Evening,120.0,170.0,No,No,No,Yes,Male,No,43,No,0,5,5,5,11.8,0,0,5,6,5,14.0,0,9.4,-0.8,-3.12,Graduate,0689,6
Daytime,133.0,120.4,No,No,No,No,Female,No,21,No,0,6,12,2,11.5,0,0,6,13,1,13.0,0,9.4,-0.8,-3.12,Dropout,3366,6
Daytime,148.0,141.4,No,No,No,Yes,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,2319,6
Evening,160.0,97.0,No,No,No,Yes,Female,Yes,35,No,0,6,9,6,11.333333333333334,0,0,6,6,6,11.333333333333334,0,15.5,2.8,-4.06,Graduate,1164,6
Daytime,170.0,165.8,Yes,No,No,Yes,Male,No,18,No,0,6,7,6,14.5,0,0,6,6,6,15.166666666666666,0,9.4,-0.8,-3.12,Graduate,3215,3
Daytime,142.0,127.0,Yes,No,No,Yes,Female,No,18,No,0,5,7,3,12.333333333333334,0,0,5,9,5,12.6,0,10.8,1.4,1.74,Graduate,3663,6
Daytime,133.0,121.8,No,No,No,Yes,Male,Yes,18,No,0,8,8,8,12.93875,0,0,8,8,8,12.93875,0,9.4,-0.8,-3.12,Graduate,3481,6
Daytime,139.0,131.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,14.652857142857142,0,0,8,8,7,14.652857142857142,0,10.8,1.4,1.74,Graduate,1163,4
Daytime,150.0,150.0,Yes,No,No,Yes,Female,No,26,No,11,18,45,18,11.833333333333334,10,9,13,27,13,12.461538461538462,5,15.5,2.8,-4.06,Graduate,0895,6
Daytime,124.0,116.3,Yes,No,No,Yes,Female,No,20,No,0,6,8,5,12.2,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Graduate,3085,6
Evening,150.0,148.0,No,No,No,Yes,Female,No,26,No,0,6,10,3,11.666666666666666,0,0,6,8,5,12.0,0,9.4,-0.8,-3.12,Graduate,0174,6
Daytime,160.0,96.0,No,No,No,No,Female,No,29,No,3,5,7,3,12.333333333333334,0,0,5,8,0,0.0,0,10.8,1.4,1.74,Dropout,3426,5
Daytime,152.0,156.9,No,No,No,Yes,Female,Yes,18,No,0,7,10,7,14.668,0,0,8,8,8,14.63375,0,15.5,2.8,-4.06,Graduate,0783,6
Daytime,121.0,114.4,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,11.1,0.6,2.02,Graduate,3130,6
Daytime,130.0,130.0,No,No,No,Yes,Male,No,28,No,9,18,36,17,13.058823529411764,1,6,12,15,12,12.307692307692308,0,15.5,2.8,-4.06,Graduate,2281,6
Daytime,140.0,140.0,Yes,No,No,Yes,Female,No,34,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,1992,6
Daytime,124.0,122.3,Yes,No,No,Yes,Female,No,19,No,0,6,7,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Dropout,3113,3
Daytime,118.0,120.5,Yes,No,No,Yes,Male,No,20,No,0,5,10,3,13.333333333333334,0,0,5,11,5,13.571428571428571,0,12.4,0.5,1.79,Graduate,3569,2
Daytime,137.0,126.5,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,13.76375,0,0,8,8,8,13.76375,0,9.4,-0.8,-3.12,Graduate,1229,2
Daytime,116.0,108.7,Yes,No,No,Yes,Male,No,18,No,0,6,9,5,11.0,0,0,6,12,0,0.0,0,11.1,0.6,2.02,Dropout,3788,6
Daytime,150.0,150.0,Yes,No,No,Yes,Male,No,22,No,0,5,7,4,14.5,0,0,5,5,5,14.6,0,10.8,1.4,1.74,Graduate,2314,6
Evening,123.0,121.3,Yes,No,No,Yes,Female,No,25,No,0,6,6,6,12.833333333333334,0,0,6,6,6,12.833333333333334,0,7.6,2.6,0.32,Graduate,0820,6
Daytime,135.0,129.8,Yes,No,No,Yes,Male,No,20,No,0,6,6,5,12.8,0,0,6,11,3,12.75,0,15.5,2.8,-4.06,Graduate,3606,4
Daytime,146.0,137.8,No,No,No,Yes,Male,No,18,No,0,6,11,5,13.6,0,0,6,13,3,12.666666666666666,0,13.9,-0.3,0.79,Dropout,1741,6
Daytime,148.0,131.6,No,No,No,Yes,Male,Yes,18,No,0,6,8,6,15.5,0,0,6,9,4,15.5,0,11.1,0.6,2.02,Dropout,3830,6
Evening,100.0,111.5,No,No,No,Yes,Male,No,45,No,2,8,10,4,11.5,0,2,8,13,4,11.0,0,10.8,1.4,1.74,Dropout,2401,6
Daytime,133.1,120.0,Yes,No,Yes,No,Male,No,41,No,0,5,5,0,0.0,1,0,5,5,0,0.0,5,12.7,3.7,-1.7,Dropout,3875,6
Daytime,116.0,110.4,Yes,No,No,Yes,Male,No,19,No,0,6,6,6,11.5,0,0,6,8,6,12.285714285714286,0,8.9,1.4,3.51,Graduate,2024,6
Daytime,110.0,160.0,Yes,No,Yes,Yes,Female,No,30,No,0,6,7,6,16.428571428571427,0,0,6,7,6,16.666666666666668,0,13.9,-0.3,0.79,Dropout,2715,6
Evening,100.0,128.2,No,No,No,Yes,Male,No,46,No,6,10,13,9,12.2,0,4,10,12,10,12.8,0,7.6,2.6,0.32,Graduate,0686,6
Daytime,128.0,116.5,Yes,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,5,12.142857142857142,0,10.8,1.4,1.74,Graduate,1721,6
Daytime,114.0,114.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,Graduate,0906,4
Daytime,133.1,128.0,Yes,No,No,No,Male,No,32,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout,1382,6
Evening,100.0,125.3,Yes,No,No,Yes,Male,No,41,No,0,5,8,4,11.25,0,0,5,8,3,11.0,1,7.6,2.6,0.32,Dropout,2410,6
Daytime,120.0,120.0,No,No,No,Yes,Female,No,32,No,9,15,21,13,12.692307692307692,0,12,15,22,13,12.384615384615383,0,10.8,1.4,1.74,Graduate,2874,6
Daytime,132.0,119.1,No,No,Yes,Yes,Male,No,18,No,0,6,6,3,12.666666666666666,0,0,6,11,4,11.142857142857142,0,10.8,1.4,1.74,Dropout,3616,6
Daytime,100.0,114.0,Yes,No,Yes,No,Female,No,31,No,0,7,8,5,12.56,0,0,7,8,5,12.56,0,7.6,2.6,0.32,Dropout,2812,6
Daytime,133.1,140.0,No,No,No,Yes,Female,Yes,26,No,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,Dropout,0381,6
Evening,134.0,120.6,Yes,No,No,Yes,Male,No,27,No,2,6,6,6,12.333333333333334,0,0,5,5,5,13.0,0,11.1,0.6,2.02,Graduate,1810,6
Daytime,120.0,115.0,No,No,No,No,Female,No,20,No,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,Dropout,0394,5
Daytime,108.0,115.0,Yes,No,Yes,No,Female,No,20,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,0645,5
Evening,150.0,120.1,No,No,No,No,Female,No,39,No,11,15,15,12,11.916666666666666,0,8,13,14,8,11.25,0,10.8,1.4,1.74,Dropout,4247,6
Daytime,122.0,119.6,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,12.333333333333334,0,0,6,6,6,12.833333333333334,0,12.4,0.5,1.79,Graduate,3045,2
Daytime,103.0,104.1,No,No,No,Yes,Female,No,20,No,0,6,6,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout,2163,6
Daytime,140.0,127.5,Yes,No,Yes,Yes,Female,Yes,20,No,0,7,9,7,12.327777777777778,0,0,8,10,8,11.736,0,15.5,2.8,-4.06,Graduate,3974,4
Daytime,130.0,124.8,No,No,No,Yes,Female,Yes,18,No,0,6,9,6,11.5,0,0,6,11,5,14.0,0,11.1,0.6,2.02,Graduate,1832,6
Daytime,168.0,171.2,No,No,No,Yes,Male,Yes,18,No,0,5,6,5,17.333333333333332,0,0,5,8,5,18.571428571428573,0,12.4,0.5,1.79,Graduate,1284,6
Daytime,177.0,155.7,No,No,Yes,Yes,Female,Yes,18,No,0,6,6,6,15.666666666666666,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Graduate,3153,6
Daytime,113.0,112.3,No,No,No,Yes,Female,No,20,No,0,6,9,6,12.375,0,0,6,7,6,13.142857142857142,0,11.1,0.6,2.02,Graduate,2948,1
Daytime,133.1,120.9,Yes,No,No,Yes,Female,No,39,No,0,7,12,4,12.0,0,0,7,13,4,12.5625,0,11.1,0.6,2.02,Dropout,4147,6
Daytime,125.0,117.0,No,No,No,Yes,Female,Yes,19,No,0,6,7,6,13.428571428571429,0,0,6,6,6,13.166666666666666,0,15.5,2.8,-4.06,Graduate,0384,6
Daytime,130.0,150.0,No,No,Yes,No,Male,No,28,No,5,11,14,11,15.090909090909092,0,5,10,11,10,15.0,0,11.1,0.6,2.02,Dropout,2264,6
Daytime,151.0,151.0,Yes,No,No,Yes,Female,No,18,Yes,0,6,12,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,1841,6
Daytime,123.9,123.9,No,No,No,Yes,Male,No,20,No,2,7,9,5,12.6,0,5,9,10,8,12.75,1,16.2,0.3,-0.92,Dropout,2699,6
Evening,120.0,113.0,No,No,No,Yes,Female,Yes,24,No,0,6,11,4,12.0,0,0,6,7,6,13.0,0,10.8,1.4,1.74,Graduate,3917,6
Daytime,145.0,138.8,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate,0904,5
Daytime,134.0,122.8,No,No,No,Yes,Male,No,18,No,0,6,6,6,12.0,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate,0983,6
Daytime,120.0,118.3,No,No,No,Yes,Female,Yes,20,No,8,11,12,11,12.0,0,6,11,14,11,12.75,0,13.9,-0.3,0.79,Graduate,2175,6
Daytime,140.0,100.8,No,Yes,No,Yes,Female,No,26,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout,2954,6
Daytime,137.0,122.7,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,15.285714285714286,0,0,8,8,8,16.075,0,12.4,0.5,1.79,Graduate,0945,6
Daytime,134.0,132.7,Yes,No,No,Yes,Male,No,22,No,9,13,13,13,14.0,0,7,12,13,12,13.0,0,15.5,2.8,-4.06,Graduate,1509,6
Daytime,126.0,119.0,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,12.166666666666666,0,0,6,7,6,12.142857142857142,0,15.5,2.8,-4.06,Graduate,4094,6
Daytime,130.0,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,0068,6
Daytime,128.0,157.4,Yes,No,No,Yes,Female,No,26,No,0,6,7,6,16.5,0,0,6,8,6,14.285714285714286,0,8.9,1.4,3.51,Graduate,3141,6
Daytime,130.0,130.0,No,No,Yes,Yes,Female,No,41,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,4141,6
Daytime,145.0,130.0,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,13.76125,0,0,8,8,8,13.76125,0,9.4,-0.8,-3.12,Graduate,1668,3
Daytime,132.0,122.9,Yes,No,No,Yes,Female,No,20,No,0,7,7,7,13.857142857142858,0,0,7,7,7,13.285714285714286,0,11.1,0.6,2.02,Graduate,2151,6
Daytime,140.0,140.0,No,No,No,Yes,Male,No,25,No,0,6,6,6,14.666666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,2219,6
Daytime,120.0,120.5,Yes,No,Yes,Yes,Male,No,35,No,14,17,17,14,10.642857142857142,1,12,12,12,12,10.666666666666666,0,15.5,2.8,-4.06,Dropout,3854,6
Daytime,154.0,150.2,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,14.5,0,0,6,6,6,14.666666666666666,0,16.2,0.3,-0.92,Graduate,2926,6
Daytime,133.1,120.0,No,No,Yes,Yes,Male,No,32,No,1,6,15,2,12.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout,3350,6
Daytime,128.0,123.5,Yes,Yes,No,No,Male,No,19,No,0,6,9,4,12.5,0,0,6,6,0,0.0,0,9.4,-0.8,-3.12,Dropout,3874,5
Evening,133.1,153.0,No,No,No,No,Female,No,40,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,3460,3
Daytime,139.0,124.5,Yes,No,No,Yes,Female,No,19,No,0,8,9,7,12.04142857142857,0,0,8,9,7,12.04142857142857,0,10.8,1.4,1.74,Graduate,1192,1
Daytime,127.0,138.8,Yes,No,No,Yes,Female,No,22,No,4,12,19,11,14.153846153846152,0,5,12,20,12,15.428571428571429,0,8.9,1.4,3.51,Graduate,1723,6
Daytime,140.0,140.0,No,No,No,Yes,Female,No,33,No,2,7,8,6,14.35,0,3,8,10,6,14.583333333333334,0,16.2,0.3,-0.92,Dropout,0180,6
Daytime,147.0,141.8,Yes,No,No,Yes,Female,No,19,No,0,6,8,6,13.0,0,0,6,9,4,12.8,0,13.9,-0.3,0.79,Graduate,1937,6
Daytime,130.0,130.0,Yes,No,No,Yes,Male,No,18,No,0,6,7,4,11.0,0,0,6,7,3,11.25,0,16.2,0.3,-0.92,Dropout,1176,3
Daytime,140.0,146.4,No,No,No,Yes,Female,No,18,No,0,5,5,5,12.6,0,0,5,7,5,11.6,0,7.6,2.6,0.32,Graduate,2862,6
Daytime,132.0,120.3,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate,0098,2
Daytime,150.0,154.8,Yes,No,No,Yes,Male,No,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate,1364,6
Daytime,135.0,130.1,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,7,6,13.0,0,15.5,2.8,-4.06,Graduate,3306,4
Daytime,133.1,100.0,No,No,No,Yes,Male,No,35,No,17,18,20,18,11.555555555555555,0,11,13,13,13,11.615384615384617,0,15.5,2.8,-4.06,Graduate,3290,6
Daytime,137.0,136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,0019,6
Daytime,134.0,133.5,Yes,No,No,Yes,Male,Yes,20,No,0,7,8,7,11.9725,0,0,8,8,8,12.65125,0,15.5,2.8,-4.06,Graduate,3898,6
Daytime,108.0,105.2,Yes,No,No,Yes,Male,No,25,No,11,17,18,13,11.538461538461538,0,10,15,15,10,12.4,0,12.7,3.7,-1.7,Dropout,1750,6
Daytime,133.1,101.0,Yes,No,No,Yes,Female,No,26,No,0,6,21,3,12.666666666666666,0,0,6,15,2,11.0,0,15.5,2.8,-4.06,Dropout,1616,6
Daytime,150.0,110.0,Yes,No,No,Yes,Male,Yes,33,No,6,14,20,14,13.072857142857144,6,6,14,20,14,13.072857142857144,6,9.4,-0.8,-3.12,Graduate,2799,6
Daytime,130.0,130.0,Yes,No,No,Yes,Female,No,23,No,0,6,7,0,0.0,0,0,6,7,0,0.0,0,11.1,0.6,2.02,Dropout,3422,6
Daytime,140.0,140.0,No,No,No,Yes,Female,No,19,No,0,6,7,6,12.0,0,0,6,7,6,12.666666666666666,0,12.4,0.5,1.79,Graduate,1111,6
Evening,133.1,113.5,No,No,No,Yes,Female,Yes,50,No,3,9,11,8,13.25,0,2,7,8,7,11.714285714285714,0,12.7,3.7,-1.7,Graduate,3272,6
Daytime,120.0,140.4,No,No,No,Yes,Female,No,31,No,2,6,13,5,11.4,0,0,6,14,4,11.75,0,13.9,-0.3,0.79,Dropout,0488,6
Daytime,125.0,117.8,Yes,No,No,Yes,Female,No,18,No,0,7,10,7,13.03,0,0,8,8,8,13.21875,0,15.5,2.8,-4.06,Graduate,1931,3
Daytime,170.0,170.0,Yes,No,No,Yes,Male,No,20,No,0,6,8,6,14.5,0,0,6,10,6,15.3,0,16.2,0.3,-0.92,Graduate,2456,6
Daytime,133.1,101.5,No,No,Yes,No,Male,No,34,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,2697,6
Daytime,120.0,120.0,Yes,No,No,Yes,Female,No,33,No,9,12,22,10,13.3,0,9,11,11,11,13.727272727272728,0,9.4,-0.8,-3.12,Graduate,3307,6
Daytime,131.0,126.5,No,No,No,Yes,Female,Yes,18,No,0,5,5,5,10.6,0,0,5,5,5,11.8,0,12.4,0.5,1.79,Graduate,0157,6
Daytime,127.0,116.9,No,No,No,Yes,Male,No,21,No,0,6,7,5,11.0,0,0,6,7,5,12.4,0,15.5,2.8,-4.06,Graduate,0538,6
Daytime,140.0,143.4,Yes,No,No,Yes,Female,No,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,4165,4
Daytime,132.0,127.1,No,No,No,Yes,Male,No,23,No,0,6,9,6,12.333333333333334,0,0,6,11,5,13.0,0,7.6,2.6,0.32,Graduate,1168,5
Daytime,143.0,133.9,Yes,No,No,Yes,Male,Yes,18,Yes,0,6,7,6,13.5,0,0,6,7,6,13.0,0,16.2,0.3,-0.92,Graduate,1281,4
Daytime,125.0,118.3,No,No,No,Yes,Male,No,20,No,0,8,12,5,12.002,1,0,8,12,5,12.002,1,10.8,1.4,1.74,Dropout,2650,6
Daytime,128.0,117.2,No,No,No,Yes,Male,No,20,No,0,5,7,5,14.6,1,0,5,5,5,14.2,0,12.7,3.7,-1.7,Graduate,0569,6
Daytime,133.0,123.2,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.333333333333334,0,0,6,7,6,13.666666666666666,0,8.9,1.4,3.51,Graduate,0799,6
Daytime,131.0,118.4,No,No,No,Yes,Female,No,19,No,0,5,8,3,12.0,0,0,5,7,5,12.833333333333334,0,7.6,2.6,0.32,Graduate,3021,6
Daytime,119.0,123.2,Yes,No,No,Yes,Male,No,22,No,0,6,6,6,14.166666666666666,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate,0565,1
Daytime,131.0,135.9,Yes,No,No,Yes,Female,No,18,No,0,6,8,5,13.2,0,0,6,6,6,11.333333333333334,0,9.4,-0.8,-3.12,Graduate,4333,6
Evening,120.0,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,0039,6
Daytime,130.0,130.0,No,No,No,Yes,Female,No,23,No,0,8,8,8,13.22,0,0,8,8,8,13.22,0,9.4,-0.8,-3.12,Graduate,0246,6
Daytime,120.0,120.0,Yes,No,Yes,No,Male,No,25,No,18,21,26,21,12.363636363636363,0,12,16,21,12,12.25,1,11.1,0.6,2.02,Dropout,2257,6
Daytime,147.0,141.1,Yes,No,No,Yes,Female,No,20,No,0,7,9,6,13.0,0,0,8,8,8,14.2125,0,13.9,-0.3,0.79,Dropout,4000,1
Daytime,114.0,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,0081,1
Daytime,129.0,117.8,Yes,No,No,Yes,Female,No,18,No,0,6,11,6,12.0,0,0,6,11,4,12.5,0,8.9,1.4,3.51,Graduate,2148,1
Daytime,140.0,135.1,No,No,No,Yes,Male,No,61,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout,0950,6
Daytime,135.0,124.5,No,No,No,Yes,Female,Yes,18,No,0,6,11,5,11.142857142857142,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,Graduate,1186,6
Daytime,145.0,138.0,Yes,No,No,Yes,Female,No,20,No,0,6,11,5,11.2,0,0,6,6,6,12.0,0,9.4,-0.8,-3.12,Graduate,1228,6
Daytime,135.0,125.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,13.154285714285717,0,0,8,8,7,13.154285714285717,0,10.8,1.4,1.74,Graduate,3781,6
Daytime,124.0,118.1,Yes,No,No,No,Female,No,18,No,0,6,11,3,13.0,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Dropout,1250,5
Daytime,135.0,133.3,No,No,No,Yes,Female,No,19,No,0,5,5,5,13.0,0,0,5,5,5,13.2,0,9.4,-0.8,-3.12,Graduate,0233,5
Daytime,134.0,120.7,No,No,Yes,No,Female,No,19,No,0,6,13,3,10.666666666666666,0,0,6,6,4,12.25,0,15.5,2.8,-4.06,Dropout,4233,6
Daytime,138.0,126.5,Yes,No,No,Yes,Female,Yes,20,Yes,0,6,7,6,12.857142857142858,0,0,6,8,5,11.8,0,8.9,1.4,3.51,Graduate,3162,6
